date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-11-10,DF,,state,217370,3775,248,True,3015268,3055149,53,7114.87394,0.0174
2020-11-09,DF,,state,216861,3759,247,False,3015268,3055149,53,7098.21354,0.0173
2020-11-08,DF,,state,216389,3752,246,False,3015268,3055149,53,7082.76421,0.0173
2020-11-07,DF,,state,215850,3740,245,False,3015268,3055149,53,7065.12186,0.0173
2020-11-06,DF,,state,215426,3733,244,False,3015268,3055149,53,7051.24365,0.0173
2020-11-05,DF,,state,214955,3728,243,False,3015268,3055149,53,7035.82706,0.0173
2020-11-04,DF,,state,214655,3719,242,False,3015268,3055149,53,7026.00757,0.0173
2020-11-03,DF,,state,214202,3707,241,False,3015268,3055149,53,7011.18014,0.0173
2020-11-02,DF,,state,213636,3695,240,False,3015268,3055149,53,6992.65404,0.0173
2020-11-01,DF,,state,213456,3688,239,False,3015268,3055149,53,6986.76235,0.0173
2020-10-31,DF,,state,213245,3683,238,False,3015268,3055149,53,6979.85597,0.0173
2020-10-30,DF,,state,212762,3676,237,False,3015268,3055149,53,6964.04660,0.0173
2020-10-29,DF,,state,212140,3670,236,False,3015268,3055149,53,6943.68753,0.0173
2020-10-28,DF,,state,211442,3661,235,False,3015268,3055149,53,6920.84085,0.0173
2020-10-27,DF,,state,210774,3653,234,False,3015268,3055149,53,6898.97612,0.0173
2020-10-26,DF,,state,210145,3641,233,False,3015268,3055149,53,6878.38793,0.0173
2020-10-25,DF,,state,209369,3633,232,False,3015268,3055149,53,6852.98818,0.0174
2020-10-24,DF,,state,208761,3623,231,False,3015268,3055149,53,6833.08736,0.0174
2020-10-23,DF,,state,208235,3613,230,False,3015268,3055149,53,6815.87052,0.0174
2020-10-22,DF,,state,207670,3600,229,False,3015268,3055149,53,6797.37715,0.0173
2020-10-21,DF,,state,207067,3587,228,False,3015268,3055149,53,6777.63998,0.0173
2020-10-20,DF,,state,206265,3575,227,False,3015268,3055149,53,6751.38921,0.0173
2020-10-19,DF,,state,205709,3561,226,False,3015268,3055149,53,6733.19043,0.0173
2020-10-18,DF,,state,204957,3545,225,False,3015268,3055149,53,6708.57624,0.0173
2020-10-17,DF,,state,204304,3539,224,False,3015268,3055149,53,6687.20249,0.0173
