date,region,region_iso,province,city,place_type,cases,deaths
2020-04-08,O’Higgins,CL-LI,,,region,43,0
2020-04-09,O’Higgins,CL-LI,,,region,44,0
2020-04-10,O’Higgins,CL-LI,,,region,44,0
2020-04-11,O’Higgins,CL-LI,,,region,45,0
2020-04-12,O’Higgins,CL-LI,,,region,46,0
2020-04-13,O’Higgins,CL-LI,,,region,48,0
2020-04-14,O’Higgins,CL-LI,,,region,53,0
2020-04-15,O’Higgins,CL-LI,,,region,54,0
2020-04-16,O’Higgins,CL-LI,,,region,54,0
2020-04-17,O’Higgins,CL-LI,,,region,55,0
2020-04-18,O’Higgins,CL-LI,,,region,55,0
2020-04-19,O’Higgins,CL-LI,,,region,55,0
2020-04-20,O’Higgins,CL-LI,,,region,56,0
2020-04-21,O’Higgins,CL-LI,,,region,57,1
2020-04-22,O’Higgins,CL-LI,,,region,59,1
2020-04-23,O’Higgins,CL-LI,,,region,76,1
2020-04-24,O’Higgins,CL-LI,,,region,81,1
2020-04-25,O’Higgins,CL-LI,,,region,85,1
2020-04-26,O’Higgins,CL-LI,,,region,92,1
2020-04-27,O’Higgins,CL-LI,,,region,94,1
