date,iso,region,city,place_type,cases,deaths,recovered
2020-04-26,CO-SUC,Sucre,,departamento,1,0,1
2020-04-27,CO-SUC,Sucre,,departamento,1,0,1
2020-04-28,CO-SUC,Sucre,,departamento,1,0,1
2020-04-29,CO-SUC,Sucre,,departamento,1,0,1
2020-04-30,CO-SUC,Sucre,,departamento,1,0,1
2020-05-01,CO-SUC,Sucre,,departamento,1,0,1
2020-05-02,CO-SUC,Sucre,,departamento,1,0,1
2020-05-03,CO-SUC,Sucre,,departamento,1,0,1
2020-05-04,CO-SUC,Sucre,,departamento,1,0,1
2020-05-05,CO-SUC,Sucre,,departamento,1,0,1
2020-05-06,CO-SUC,Sucre,,departamento,1,0,1
2020-05-07,CO-SUC,Sucre,,departamento,1,0,1
2020-05-08,CO-SUC,Sucre,,departamento,1,0,1
2020-05-09,CO-SUC,Sucre,,departamento,2,0,1
2020-05-10,CO-SUC,Sucre,,departamento,2,0,1
2020-05-11,CO-SUC,Sucre,,departamento,4,0,1
2020-05-12,CO-SUC,Sucre,,departamento,4,0,1
2020-05-13,CO-SUC,Sucre,,departamento,4,0,1
2020-05-14,CO-SUC,Sucre,,departamento,4,0,1
2020-05-15,CO-SUC,Sucre,,departamento,4,0,1
2020-05-16,CO-SUC,Sucre,,departamento,4,0,1
2020-05-17,CO-SUC,Sucre,,departamento,4,0,1
2020-05-18,CO-SUC,Sucre,,departamento,4,0,1
2020-05-19,CO-SUC,Sucre,,departamento,4,0,1
2020-05-20,CO-SUC,Sucre,,departamento,4,0,1
2020-05-21,CO-SUC,Sucre,,departamento,5,0,1
2020-05-22,CO-SUC,Sucre,,departamento,5,0,1
2020-05-23,CO-SUC,Sucre,,departamento,5,0,1
2020-05-24,CO-SUC,Sucre,,departamento,5,0,1
2020-05-25,CO-SUC,Sucre,,departamento,5,0,1
2020-05-26,CO-SUC,Sucre,,departamento,7,0,1
2020-05-27,CO-SUC,Sucre,,departamento,7,0,1
2020-05-28,CO-SUC,Sucre,,departamento,10,0,3
2020-05-29,CO-SUC,Sucre,,departamento,15,0,3
2020-05-30,CO-SUC,Sucre,,departamento,15,0,3
2020-05-31,CO-SUC,Sucre,,departamento,19,0,3
2020-06-01,CO-SUC,Sucre,,departamento,21,0,4
2020-06-02,CO-SUC,Sucre,,departamento,24,0,4
2020-06-03,CO-SUC,Sucre,,departamento,25,0,4
2020-06-04,CO-SUC,Sucre,,departamento,47,0,4
2020-06-05,CO-SUC,Sucre,,departamento,74,0,5
2020-06-06,CO-SUC,Sucre,,departamento,81,0,5
2020-06-07,CO-SUC,Sucre,,departamento,97,2,5
2020-06-08,CO-SUC,Sucre,,departamento,131,2,5
2020-06-09,CO-SUC,Sucre,,departamento,131,2,5
2020-06-10,CO-SUC,Sucre,,departamento,143,2,5
2020-06-11,CO-SUC,Sucre,,departamento,166,3,5
2020-06-12,CO-SUC,Sucre,,departamento,166,3,5
2020-06-13,CO-SUC,Sucre,,departamento,196,4,6
2020-06-14,CO-SUC,Sucre,,departamento,213,7,7
2020-06-15,CO-SUC,Sucre,,departamento,239,8,8
2020-06-16,CO-SUC,Sucre,,departamento,240,10,10
2020-06-17,CO-SUC,Sucre,,departamento,272,11,16
2020-06-18,CO-SUC,Sucre,,departamento,300,11,21
2020-06-19,CO-SUC,Sucre,,departamento,404,11,34
2020-06-20,CO-SUC,Sucre,,departamento,448,14,36
2020-06-21,CO-SUC,Sucre,,departamento,497,15,43
2020-06-22,CO-SUC,Sucre,,departamento,536,19,45
2020-06-23,CO-SUC,Sucre,,departamento,588,20,47
2020-06-24,CO-SUC,Sucre,,departamento,643,21,54
2020-06-25,CO-SUC,Sucre,,departamento,733,23,55
2020-06-26,CO-SUC,Sucre,,departamento,847,29,65
2020-06-27,CO-SUC,Sucre,,departamento,895,39,78
2020-06-28,CO-SUC,Sucre,,departamento,976,42,88
2020-06-29,CO-SUC,Sucre,,departamento,1092,49,98
2020-06-30,CO-SUC,Sucre,,departamento,1092,49,98
2020-07-01,CO-SUC,Sucre,,departamento,1255,65,123
2020-07-02,CO-SUC,Sucre,,departamento,1373,72,133
2020-07-03,CO-SUC,Sucre,,departamento,1490,79,147
2020-07-04,CO-SUC,Sucre,,departamento,1549,86,155
2020-07-05,CO-SUC,Sucre,,departamento,1683,93,165
2020-07-06,CO-SUC,Sucre,,departamento,1825,96,192
2020-07-07,CO-SUC,Sucre,,departamento,1892,102,227
2020-07-08,CO-SUC,Sucre,,departamento,2003,107,261
2020-07-09,CO-SUC,Sucre,,departamento,2139,121,285
2020-07-10,CO-SUC,Sucre,,departamento,2273,133,333
2020-07-11,CO-SUC,Sucre,,departamento,2376,142,367
2020-07-12,CO-SUC,Sucre,,departamento,2419,150,387
2020-07-13,CO-SUC,Sucre,,departamento,2523,155,432
2020-07-14,CO-SUC,Sucre,,departamento,2583,161,516
2020-07-15,CO-SUC,Sucre,,departamento,2723,163,607
2020-07-16,CO-SUC,Sucre,,departamento,2772,171,670
2020-07-17,CO-SUC,Sucre,,departamento,3052,177,790
2020-07-18,CO-SUC,Sucre,,departamento,3448,198,911
2020-07-19,CO-SUC,Sucre,,departamento,3933,209,1035
2020-07-20,CO-SUC,Sucre,,departamento,4139,225,1235
2020-07-21,CO-SUC,Sucre,,departamento,4613,239,1363
2020-07-22,CO-SUC,Sucre,,departamento,4613,247,1410
2020-07-23,CO-SUC,Sucre,,departamento,4726,258,1492
2020-07-24,CO-SUC,Sucre,,departamento,4851,276,1679
2020-07-25,CO-SUC,Sucre,,departamento,4974,302,1733
2020-07-26,CO-SUC,Sucre,,departamento,5119,327,1972
2020-07-27,CO-SUC,Sucre,,departamento,5319,336,2142
2020-07-28,CO-SUC,Sucre,,departamento,5440,346,2286
2020-07-29,CO-SUC,Sucre,,departamento,5663,351,2476
2020-07-30,CO-SUC,Sucre,,departamento,5742,356,2722
2020-07-31,CO-SUC,Sucre,,departamento,5817,363,2924
2020-08-01,CO-SUC,Sucre,,departamento,5928,371,3013
2020-08-02,CO-SUC,Sucre,,departamento,6002,372,3166
2020-08-03,CO-SUC,Sucre,,departamento,6115,377,3355
2020-08-04,CO-SUC,Sucre,,departamento,6326,381,3405
2020-08-05,CO-SUC,Sucre,,departamento,6497,386,3710
2020-08-06,CO-SUC,Sucre,,departamento,6735,387,3866
2020-08-07,CO-SUC,Sucre,,departamento,6984,391,4054
2020-08-08,CO-SUC,Sucre,,departamento,7119,393,4209
2020-08-09,CO-SUC,Sucre,,departamento,7230,393,4353
2020-08-10,CO-SUC,Sucre,,departamento,7448,395,4512
2020-08-11,CO-SUC,Sucre,,departamento,7575,395,4722
2020-08-12,CO-SUC,Sucre,,departamento,7739,400,4808
2020-08-13,CO-SUC,Sucre,,departamento,7878,402,4924
2020-08-14,CO-SUC,Sucre,,departamento,8128,409,5088
