countryterritoryCode,continentExp,countriesAndTerritories,dateRep,total_cases,cases,new_cases_smoothed,total_deaths,deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,popData2019,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BOL,South America,Bolivia,2020-03-11,2,2,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11673029,10,25,7,4,6886,7,204,7,,,25,1,72,1
BOL,South America,Bolivia,2020-03-12,2,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,11673029,10,25,7,4,6886,7,204,7,,,25,1,72,1
BOL,South America,Bolivia,2020-03-13,3,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,11673029,10,25,7,4,6886,7,204,7,,,25,1,72,1
BOL,South America,Bolivia,2020-03-14,10,7,,,,,1,1,,,,,,,,,,,,,,,26,0,,,,,,tests performed,,,,,,,,,,44,11673029,10,25,7,4,6886,7,204,7,,,25,1,72,1
BOL,South America,Bolivia,2020-03-15,10,0,,,,,1,0,,,,,,,,,,,,,,7,33,0,0,,,,,tests performed,,,,,,,,,,44,11673029,10,25,7,4,6886,7,204,7,,,25,1,72,1
BOL,South America,Bolivia,2020-03-16,11,1,2,,,0,1,0,0,,,0,,,,,,,,,,12,45,0,0,,,,,tests performed,,,,,,,,,,53,11673029,10,25,7,4,6886,7,204,7,,,25,1,72,1
BOL,South America,Bolivia,2020-03-17,11,0,2,,,0,1,0,0,,,0,,,,,,,,,,5,50,0,0,,,,,tests performed,,,,,,,,,,69,11673029,10,25,7,4,6886,7,204,7,,,25,1,72,1
BOL,South America,Bolivia,2020-03-18,12,1,1,,,0,1,0,0,,,0,,,,,,,,,,1,51,0,0,,,,,tests performed,,,,,,,,,,75,11673029,10,25,7,4,6886,7,204,7,,,25,1,72,1
BOL,South America,Bolivia,2020-03-19,12,0,1,,,0,1,0,0,,,0,,,,,,,,,,33,84,0,0,,,,,tests performed,,,,,,,,,,75,11673029,10,25,7,4,6886,7,204,7,,,25,1,72,1
BOL,South America,Bolivia,2020-03-20,15,3,2,,,0,1,0,0,,,0,,,,,,,,,,27,111,0,0,,,,,tests performed,,,,,,,,,,75,11673029,10,25,7,4,6886,7,204,7,,,25,1,72,1
