countryterritoryCode,continentExp,countriesAndTerritories,dateRep,total_cases,cases,new_cases_smoothed,total_deaths,deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,popData2019,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
GRD,North America,Grenada,2020-03-22,1,1,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-03-23,1,0,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-03-24,1,0,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-03-25,1,0,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-03-26,7,6,,,,,62,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-03-27,7,0,1,,,0,62,0,9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-03-28,7,0,1,,,0,62,0,9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-03-29,9,2,1,,,0,80,18,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-03-30,9,0,1,,,0,80,0,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-03-31,9,0,1,,,0,80,0,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-01,9,0,1,,,0,80,0,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-02,10,1,0,,,0,88,9,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-03,12,2,1,,,0,106,18,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-04,12,0,1,,,0,106,0,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-05,12,0,0,,,0,106,0,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-06,12,0,0,,,0,106,0,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-07,12,0,0,,,0,106,0,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-08,12,0,0,,,0,106,0,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-09,12,0,0,,,0,106,0,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-10,14,2,0,,,0,124,18,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-11,14,0,0,,,0,124,0,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-12,14,0,0,,,0,124,0,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-13,14,0,0,,,0,124,0,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-14,14,0,0,,,0,124,0,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-15,14,0,0,,,0,124,0,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-16,14,0,0,,,0,124,0,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-17,14,0,0,,,0,124,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-18,14,0,0,,,0,124,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-19,14,0,0,,,0,124,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-20,14,0,0,,,0,124,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-21,14,0,0,,,0,124,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-22,15,1,0,,,0,133,9,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-23,15,0,0,,,0,133,0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-24,15,0,0,,,0,133,0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-25,18,3,1,,,0,159,27,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-26,18,0,1,,,0,159,0,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-27,18,0,1,,,0,159,0,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-28,19,1,1,,,0,168,9,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-29,20,1,1,,,0,177,9,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-04-30,20,0,1,,,0,177,0,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-01,20,0,1,,,0,177,0,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-02,21,1,0,,,0,186,9,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-03,21,0,0,,,0,186,0,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-04,21,0,0,,,0,186,0,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-05,21,0,0,,,0,186,0,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-06,21,0,0,,,0,186,0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-07,21,0,0,,,0,186,0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-08,21,0,0,,,0,186,0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-09,21,0,0,,,0,186,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-10,21,0,0,,,0,186,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-11,21,0,0,,,0,186,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-12,21,0,0,,,0,186,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-13,21,0,0,,,0,186,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-14,21,0,0,,,0,186,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
GRD,North America,Grenada,2020-05-15,22,1,0,,,0,195,9,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015,317,29,7,5,13594,,244,11,,,,4,72,1,
