countryterritoryCode,continentExp,countriesAndTerritories,dateRep,total_cases,cases,new_cases_smoothed,total_deaths,deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,popData2019,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
HUN,Europe,Hungary,2020-03-03,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,11,108,43,19,12,26778,0,278,8,27,35,,7,77,1,9967304,,,,
HUN,Europe,Hungary,2020-03-04,2,2,,,,,0,0,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,11,108,43,19,12,26778,0,278,8,27,35,,7,77,1,9967304,,,,
HUN,Europe,Hungary,2020-03-05,2,0,,,,,0,0,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,11,108,43,19,12,26778,0,278,8,27,35,,7,77,1,9967304,,,,
HUN,Europe,Hungary,2020-03-06,2,0,,,,,0,0,,,,,,,,4,0,,,,,39,39,0,0,,,,,tests performed,,,,,,,,,,,,,,11,108,43,19,12,26778,0,278,8,27,35,,7,77,1,9967304,,,,
HUN,Europe,Hungary,2020-03-07,4,2,,,,,0,0,,,,,,,,5,1,,,,,89,50,0,0,,,,,tests performed,,,,,,,,,,,,,,11,108,43,19,12,26778,0,278,8,27,35,,7,77,1,9967304,,,,
HUN,Europe,Hungary,2020-03-08,7,3,,,,,1,0,,,,,,,,7,1,,,,,132,43,0,0,,,,,tests performed,,,,,,,,,,,,,,11,108,43,19,12,26778,0,278,8,27,35,,7,77,1,9967304,-2846,-10,-7,-293
HUN,Europe,Hungary,2020-03-09,9,2,1,,,,1,0,0,,,,,,,9,1,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,19,108,43,19,12,26778,0,278,8,27,35,,7,77,1,9967304,,,,
HUN,Europe,Hungary,2020-03-10,9,0,1,,,,1,0,0,,,,,,,12,1,,,,,301,169,0,0,,,,,tests performed,,,,,,,,,,,,,,19,108,43,19,12,26778,0,278,8,27,35,,7,77,1,9967304,,,,
HUN,Europe,Hungary,2020-03-11,13,4,2,,,,1,0,0,,,,,,,13,1,,,,,379,78,0,0,,,,,tests performed,,,,,,,,,,,,,,46,108,43,19,12,26778,0,278,8,27,35,,7,77,1,9967304,,,,
HUN,Europe,Hungary,2020-03-12,13,0,2,,,,1,0,0,,,,,,,16,2,,,,,500,121,0,0,,,,,tests performed,,,,,,,,,,,,,,50,108,43,19,12,26778,0,278,8,27,35,,7,77,1,9967304,,,,
