dateRep,day,month,year,cases,deaths,geoId,continentExp,countryterritoryCode,popData2018,countriesAndTerritories
20/04/2020,20,4,2020,4,0,MG,Africa,MDG,26262368,Madagascar
19/04/2020,19,4,2020,0,0,MG,Africa,MDG,26262368,Madagascar
18/04/2020,18,4,2020,6,0,MG,Africa,MDG,26262368,Madagascar
17/04/2020,17,4,2020,1,0,MG,Africa,MDG,26262368,Madagascar
16/04/2020,16,4,2020,2,0,MG,Africa,MDG,26262368,Madagascar
15/04/2020,15,4,2020,2,0,MG,Africa,MDG,26262368,Madagascar
14/04/2020,14,4,2020,0,0,MG,Africa,MDG,26262368,Madagascar
13/04/2020,13,4,2020,4,0,MG,Africa,MDG,26262368,Madagascar
12/04/2020,12,4,2020,0,0,MG,Africa,MDG,26262368,Madagascar
11/04/2020,11,4,2020,9,0,MG,Africa,MDG,26262368,Madagascar
10/04/2020,10,4,2020,0,0,MG,Africa,MDG,26262368,Madagascar
09/04/2020,9,4,2020,8,0,MG,Africa,MDG,26262368,Madagascar
08/04/2020,8,4,2020,8,0,MG,Africa,MDG,26262368,Madagascar
07/04/2020,7,4,2020,5,0,MG,Africa,MDG,26262368,Madagascar
06/04/2020,6,4,2020,1,0,MG,Africa,MDG,26262368,Madagascar
05/04/2020,5,4,2020,6,0,MG,Africa,MDG,26262368,Madagascar
04/04/2020,4,4,2020,6,0,MG,Africa,MDG,26262368,Madagascar
03/04/2020,3,4,2020,5,0,MG,Africa,MDG,26262368,Madagascar
02/04/2020,2,4,2020,8,0,MG,Africa,MDG,26262368,Madagascar
01/04/2020,1,4,2020,2,0,MG,Africa,MDG,26262368,Madagascar
31/03/2020,31,3,2020,7,0,MG,Africa,MDG,26262368,Madagascar
30/03/2020,30,3,2020,9,0,MG,Africa,MDG,26262368,Madagascar
29/03/2020,29,3,2020,4,0,MG,Africa,MDG,26262368,Madagascar
28/03/2020,28,3,2020,1,0,MG,Africa,MDG,26262368,Madagascar
27/03/2020,27,3,2020,4,0,MG,Africa,MDG,26262368,Madagascar
26/03/2020,26,3,2020,0,0,MG,Africa,MDG,26262368,Madagascar
25/03/2020,25,3,2020,2,0,MG,Africa,MDG,26262368,Madagascar
24/03/2020,24,3,2020,14,0,MG,Africa,MDG,26262368,Madagascar
23/03/2020,23,3,2020,0,0,MG,Africa,MDG,26262368,Madagascar
22/03/2020,22,3,2020,0,0,MG,Africa,MDG,26262368,Madagascar
21/03/2020,21,3,2020,3,0,MG,Africa,MDG,26262368,Madagascar
