dateRep,year_week,cases_weekly,deaths_weekly,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,notification_rate_per_100000_population_14-days
2020-12-14,2020-50,710,9,Mozambique,MZ,MOZ,30366043,Africa,4
2020-12-07,2020-49,631,3,Mozambique,MZ,MOZ,30366043,Africa,4
2020-11-30,2020-48,576,6,Mozambique,MZ,MOZ,30366043,Africa,4
2020-11-23,2020-47,589,11,Mozambique,MZ,MOZ,30366043,Africa,4
2020-11-16,2020-46,680,14,Mozambique,MZ,MOZ,30366043,Africa,5
2020-11-09,2020-45,780,6,Mozambique,MZ,MOZ,30366043,Africa,6
2020-11-02,2020-44,1002,7,Mozambique,MZ,MOZ,30366043,Africa,7
2020-10-26,2020-43,1120,11,Mozambique,MZ,MOZ,30366043,Africa,7
2020-10-19,2020-42,865,4,Mozambique,MZ,MOZ,30366043,Africa,6
2020-10-12,2020-41,805,5,Mozambique,MZ,MOZ,30366043,Africa,7
2020-10-05,2020-40,1213,8,Mozambique,MZ,MOZ,30366043,Africa,8
2020-09-28,2020-39,1212,15,Mozambique,MZ,MOZ,30366043,Africa,9
2020-09-21,2020-38,1502,8,Mozambique,MZ,MOZ,30366043,Africa,8
2020-09-14,2020-37,825,8,Mozambique,MZ,MOZ,30366043,Africa,5
2020-09-07,2020-36,623,4,Mozambique,MZ,MOZ,30366043,Africa,3
2020-08-31,2020-35,426,3,Mozambique,MZ,MOZ,30366043,Africa,3
2020-08-24,2020-34,540,1,Mozambique,MZ,MOZ,30366043,Africa,4
2020-08-17,2020-33,586,3,Mozambique,MZ,MOZ,30366043,Africa,3
2020-08-10,2020-32,323,3,Mozambique,MZ,MOZ,30366043,Africa,2
2020-08-03,2020-31,277,2,Mozambique,MZ,MOZ,30366043,Africa,2
2020-07-27,2020-30,178,1,Mozambique,MZ,MOZ,30366043,Africa,2
2020-07-20,2020-29,334,1,Mozambique,MZ,MOZ,30366043,Africa,2
2020-07-13,2020-28,170,1,Mozambique,MZ,MOZ,30366043,Africa,1
2020-07-06,2020-27,128,3,Mozambique,MZ,MOZ,30366043,Africa,1
2020-06-29,2020-26,126,0,Mozambique,MZ,MOZ,30366043,Africa,1
2020-06-22,2020-25,150,2,Mozambique,MZ,MOZ,30366043,Africa,1
2020-06-15,2020-24,157,1,Mozambique,MZ,MOZ,30366043,Africa,1
2020-06-08,2020-23,172,0,Mozambique,MZ,MOZ,30366043,Africa,1
2020-06-01,2020-22,60,2,Mozambique,MZ,MOZ,30366043,Africa,0
2020-05-25,2020-21,57,0,Mozambique,MZ,MOZ,30366043,Africa,0
2020-05-18,2020-20,46,0,Mozambique,MZ,MOZ,30366043,Africa,0
2020-05-11,2020-19,11,0,Mozambique,MZ,MOZ,30366043,Africa,0
2020-05-04,2020-18,4,0,Mozambique,MZ,MOZ,30366043,Africa,0
2020-04-27,2020-17,37,0,Mozambique,MZ,MOZ,30366043,Africa,0
2020-04-20,2020-16,18,0,Mozambique,MZ,MOZ,30366043,Africa,0
2020-04-13,2020-15,11,0,Mozambique,MZ,MOZ,30366043,Africa,0
2020-04-06,2020-14,2,0,Mozambique,MZ,MOZ,30366043,Africa,0
2020-03-30,2020-13,7,0,Mozambique,MZ,MOZ,30366043,Africa,0
2020-03-23,2020-12,1,0,Mozambique,MZ,MOZ,30366043,Africa,
