dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
2020-11-23,23,11,2020,0,0,Ukraine,UA,UKR,43993643,Europe,346
2020-11-22,22,11,2020,0,0,Ukraine,UA,UKR,43993643,Europe,368
2020-11-21,21,11,2020,29155,444,Ukraine,UA,UKR,43993643,Europe,392
2020-11-20,20,11,2020,13357,257,Ukraine,UA,UKR,43993643,Europe,348
2020-11-19,19,11,2020,12496,256,Ukraine,UA,UKR,43993643,Europe,340
2020-11-18,18,11,2020,11968,159,Ukraine,UA,UKR,43993643,Europe,333
2020-11-17,17,11,2020,9832,94,Ukraine,UA,UKR,43993643,Europe,326
2020-11-16,16,11,2020,10681,95,Ukraine,UA,UKR,43993643,Europe,319
2020-11-15,15,11,2020,12524,191,Ukraine,UA,UKR,43993643,Europe,313
2020-11-14,14,11,2020,11787,172,Ukraine,UA,UKR,43993643,Europe,304
2020-11-13,13,11,2020,11057,198,Ukraine,UA,UKR,43993643,Europe,297
2020-11-12,12,11,2020,10611,191,Ukraine,UA,UKR,43993643,Europe,288
2020-11-11,11,11,2020,10179,191,Ukraine,UA,UKR,43993643,Europe,281
2020-11-10,10,11,2020,8687,115,Ukraine,UA,UKR,43993643,Europe,273
2020-11-09,9,11,2020,9397,138,Ukraine,UA,UKR,43993643,Europe,266
2020-11-08,8,11,2020,10746,187,Ukraine,UA,UKR,43993643,Europe,258
2020-11-07,7,11,2020,9721,201,Ukraine,UA,UKR,43993643,Europe,250
2020-11-06,6,11,2020,9850,193,Ukraine,UA,UKR,43993643,Europe,245
2020-11-05,5,11,2020,9524,199,Ukraine,UA,UKR,43993643,Europe,238
2020-11-04,4,11,2020,8899,157,Ukraine,UA,UKR,43993643,Europe,232
2020-11-03,3,11,2020,6754,69,Ukraine,UA,UKR,43993643,Europe,212
2020-11-02,2,11,2020,7959,110,Ukraine,UA,UKR,43993643,Europe,209
2020-11-01,1,11,2020,8752,155,Ukraine,UA,UKR,43993643,Europe,213
2020-10-31,31,10,2020,8312,173,Ukraine,UA,UKR,43993643,Europe,208
2020-10-30,30,10,2020,7342,113,Ukraine,UA,UKR,43993643,Europe,203
2020-10-29,29,10,2020,7474,165,Ukraine,UA,UKR,43993643,Europe,198
2020-10-28,28,10,2020,6677,126,Ukraine,UA,UKR,43993643,Europe,193
2020-10-27,27,10,2020,5435,73,Ukraine,UA,UKR,43993643,Europe,190
2020-10-26,26,10,2020,6079,102,Ukraine,UA,UKR,43993643,Europe,187
2020-10-25,25,10,2020,7014,125,Ukraine,UA,UKR,43993643,Europe,184
2020-10-24,24,10,2020,7517,121,Ukraine,UA,UKR,43993643,Europe,195
2020-10-23,23,10,2020,7053,116,Ukraine,UA,UKR,43993643,Europe,178
2020-10-22,22,10,2020,6719,141,Ukraine,UA,UKR,43993643,Europe,174
2020-10-21,21,10,2020,0,0,Ukraine,UA,UKR,43993643,Europe,169
2020-10-20,20,10,2020,5469,113,Ukraine,UA,UKR,43993643,Europe,179
2020-10-19,19,10,2020,9997,156,Ukraine,UA,UKR,43993643,Europe,175
2020-10-18,18,10,2020,6410,109,Ukraine,UA,UKR,43993643,Europe,162
2020-10-17,17,10,2020,5992,106,Ukraine,UA,UKR,43993643,Europe,158
2020-10-16,16,10,2020,5062,73,Ukraine,UA,UKR,43993643,Europe,164
2020-10-15,15,10,2020,5590,96,Ukraine,UA,UKR,43993643,Europe,153
2020-10-14,14,10,2020,5133,118,Ukraine,UA,UKR,43993643,Europe,149
2020-10-13,13,10,2020,4420,43,Ukraine,UA,UKR,43993643,Europe,146
2020-10-12,12,10,2020,4768,85,Ukraine,UA,UKR,43993643,Europe,142
2020-10-11,11,10,2020,11532,197,Ukraine,UA,UKR,43993643,Europe,138
2020-10-10,10,10,2020,0,0,Ukraine,UA,UKR,43993643,Europe,121
2020-10-09,9,10,2020,5397,93,Ukraine,UA,UKR,43993643,Europe,129
2020-10-08,8,10,2020,4753,77,Ukraine,UA,UKR,43993643,Europe,124
2020-10-07,7,10,2020,4348,90,Ukraine,UA,UKR,43993643,Europe,121
2020-10-06,6,10,2020,3774,33,Ukraine,UA,UKR,43993643,Europe,118
2020-10-05,5,10,2020,4230,44,Ukraine,UA,UKR,43993643,Europe,115
2020-10-04,4,10,2020,4571,92,Ukraine,UA,UKR,43993643,Europe,113
2020-10-03,3,10,2020,8702,68,Ukraine,UA,UKR,43993643,Europe,110
2020-10-02,2,10,2020,0,64,Ukraine,UA,UKR,43993643,Europe,97
2020-10-01,1,10,2020,4027,64,Ukraine,UA,UKR,43993643,Europe,105
2020-09-30,30,9,2020,3627,69,Ukraine,UA,UKR,43993643,Europe,96
2020-09-29,29,9,2020,2671,37,Ukraine,UA,UKR,43993643,Europe,101
2020-09-28,28,9,2020,3130,56,Ukraine,UA,UKR,43993643,Europe,101
2020-09-27,27,9,2020,3833,76,Ukraine,UA,UKR,43993643,Europe,99
2020-09-26,26,9,2020,3565,70,Ukraine,UA,UKR,43993643,Europe,98
2020-09-25,25,9,2020,3372,52,Ukraine,UA,UKR,43993643,Europe,89
2020-09-24,24,9,2020,3497,63,Ukraine,UA,UKR,43993643,Europe,89
2020-09-23,23,9,2020,2884,59,Ukraine,UA,UKR,43993643,Europe,87
2020-09-22,22,9,2020,2675,26,Ukraine,UA,UKR,43993643,Europe,92
2020-09-21,21,9,2020,2966,41,Ukraine,UA,UKR,43993643,Europe,90
2020-09-20,20,9,2020,3240,48,Ukraine,UA,UKR,43993643,Europe,88
2020-09-19,19,9,2020,3228,68,Ukraine,UA,UKR,43993643,Europe,88
2020-09-18,18,9,2020,3584,60,Ukraine,UA,UKR,43993643,Europe,86
2020-09-17,17,9,2020,0,0,Ukraine,UA,UKR,43993643,Europe,84
2020-09-16,16,9,2020,5863,129,Ukraine,UA,UKR,43993643,Europe,89
2020-09-15,15,9,2020,2462,33,Ukraine,UA,UKR,43993643,Europe,81
2020-09-14,14,9,2020,2476,75,Ukraine,UA,UKR,43993643,Europe,80
